S.no.,Year,State,TFR,Pop,PR,Birth,BR
348,2055,mizoram,1.27,1269354,-0.015011573,39047,-0.060568033
349,2055,nagaland,1.36,2493144,-0.009887114,82561,-0.059870883
350,2055,nct of delhi,1.57,36881533,0.046152067,1741254,0.002615357
351,2055,odisha,1.88,53879411,0.003656072,3094353,-0.023465002
352,2055,puducherry,1.67,2010886,0.017197395,96991,-0.006815065
353,2055,punjab,1.73,38540869,0.010826144,1746655,-0.011895881
354,2055,rajasthan,1.91,109517974,0.018815313,6692301,-0.026237911
355,2055,sikkim,1.47,905947,0.007551214,34729,-0.038958795
356,2055,tamil nadu,1.81,82966587,-0.010682831,4086691,-0.020515131
357,2055,tripura,1.25,4329104,-0.021090738,122760,-0.078242098
358,2055,uttar pradesh,1.86,309510620,0.014372731,19528008,-0.052374415
359,2055,uttarakhand,1.84,15524318,0.020801171,828146,-0.029710945
360,2055,west bengal,1.57,108532171,-0.012127455,4656588,-0.039029865
361,2060,andaman & nicobar islands,1.73,671246,0.017211276,30890,0.011362901
362,2060,andhra pradesh,1.8,103433214,-0.009852125,4836926,-0.014236108
363,2060,arunachal pradesh,1.5,2509950,0.016526226,105196,-0.033280733
364,2060,assam,1.96,45519065,0.006219504,2754325,-0.009883002
365,2060,bihar,1.92,167306079,0.013205557,10384911,-0.040833282
366,2060,chandigarh,1.55,2533057,0.034178465,112964,0.013694628
367,2060,chhattisgarh,1.94,37182302,0.006955567,2268675,-0.01349422
368,2060,dadra & nagar haveli,1.75,1038625,0.042494644,46727,0.00261091
369,2060,daman & diu,1.76,815516,0.045907131,29821,0.019482915
370,2060,goa,1.44,2340830,0.012918495,83973,-0.000416801
371,2060,gujarat,1.77,88816743,0.004583483,4384231,-0.009485586
372,2060,haryana,1.83,44249846,0.02085483,2336996,0.004875918
373,2060,himachal pradesh,1.82,9242003,0.001497619,431414,-0.014056104
375,2060,jammu & kashmir,1.64,16692286,-0.004346619,721594,-0.04435181
376,2060,jharkhand,1.83,50327608,0.008501755,2879784,-0.033261175
377,2060,karnataka,1.82,79274613,-0.004020177,3881068,-0.010509994
378,2060,kerala,1.7,35627558,-0.022184877,1573998,-0.037956211
379,2060,lakshadweep,1.39,123135,0.020465343,3928,-0.008910387
380,2060,madhya pradesh,1.89,115149644,0.012375496,6892905,-0.010277234
381,2060,maharashtra,1.76,169161358,0.00944484,7833297,-0.002973844
382,2060,manipur,1.35,3047819,-0.033843545,86339,-0.080797785
383,2060,meghalaya,1.72,4637004,0.007726972,241857,-0.041309534
384,2060,mizoram,1.29,1250299,-0.021554044,36682,-0.087154463
385,2060,nagaland,1.38,2468494,-0.017729028,77618,-0.078924992
386,2060,nct of delhi,1.59,38583692,0.038282003,1745808,0.010979443
387,2060,odisha,1.9,54076398,-0.000720222,3021744,-0.014327488
388,2060,puducherry,1.68,2045468,0.011870633,96330,-0.000145334
389,2060,punjab,1.74,38958118,0.005355418,1725877,-0.002722674
390,2060,rajasthan,1.9,111578589,0.01298189,6516709,-0.011068624
391,2060,sikkim,1.49,912788,-0.000360434,33376,-0.025107862
392,2060,tamil nadu,1.82,82080269,-0.0143366,4002852,-0.016663119
393,2060,tripura,1.27,4237800,-0.029479683,113155,-0.073624674
394,2060,uttar pradesh,1.84,313959133,0.007418141,18505240,-0.036203637
395,2060,uttarakhand,1.84,15847242,0.014418534,803541,-0.014571752
396,2060,west bengal,1.59,107215952,-0.017381061,4474842,-0.030346323
397,2065,andaman & nicobar islands,1.76,682799,0.012393105,31241,0.013411863
398,2065,andhra pradesh,1.82,102414177,-0.013796234,4768067,-0.009816137
399,2065,arunachal pradesh,1.52,2551430,0.009384541,101695,-0.021869315
400,2065,assam,1.99,45802171,0.002775436,2727104,-0.00360419
401,2065,bihar,1.91,169515449,0.007417696,9960861,-0.023926747
402,2065,chandigarh,1.57,2619633,0.028092103,114511,0.024216014
403,2065,chhattisgarh,1.94,37440926,0.00353613,2238061,-0.013002327
